reviewId,userName,score,at,content,thumbsUpCount
2f7aea05-6cbd-4077-bd09-bd522801da16,islahuddin anshory,5,2026-03-11 19:56:19,bagus sekali,0
3941ecdd-b77b-447e-9721-654647806819,TamTama_9213,4,2026-03-11 19:26:09,servernya Tolonk di perbaiki :3,0
6b1b301f-a7b1-4a18-9e74-b3f52b3d2dc3,Ugih Nuriyana,1,2026-03-11 19:11:15,"Bikin sinyal ilang2an setiap kereta lewat, Ganggu aja",0
d010b137-3c7e-4d06-aa9f-a5caeec47fb9,b vristn,2,2026-03-11 17:35:23,"aplikasi sering down, dan ga bisa cancel tiket",0
f7032368-746f-41bc-a3e5-5bc032bce83a,Wawan Mulyawan,5,2026-03-11 17:16:56,perjalanan lbh mudah dan efisien.,0
aeafe7e3-378e-457e-962b-3b7d05b9ab63,Erwinsyah Pasaribu,2,2026-03-11 16:51:46,semua jadwal kosong kocak ni apk,0
411bf5a7-a74a-457c-a510-1087f389729f,D Han,3,2026-03-11 16:41:54,"suka error kalo lagi mau pesan makan lewat aplikasi waktu dikereta, padahal sinyalnya bagus.....tolong perbaiki lagi",0
988d7168-0b9b-4867-ab42-6c4c5e307c07,Andi Suhandi,5,2026-03-11 16:12:18,ok,0
b9cf64fd-df02-4e06-8d20-67630ae2b9d5,Didik,5,2026-03-11 16:12:00,sangat memuaskan,0
b12061c0-c46f-46f3-bf3d-6a4bd9609207,Ery Ekklesia,5,2026-03-11 15:44:16,Tingkatkan!,0
a04d1e92-d876-4f8a-80bb-9889cb3ab51b,Marica Triyaningsih,5,2026-03-11 15:42:27,Tingkatkan!!,0
15cd6cbe-298e-4af7-b3e0-3c3ac1384211,Syam,1,2026-03-11 14:46:44,hari ini tgl 11 Maret 2026 kereta tujuan Tangerang dari duri jadwalnya ngaret sudah tunggu dari 14.20 jam 14.45 kereta masih di tanah tinggi sampe duri bisa jam 3 lewat apaa apaan ini jadwalnya ngaret parah,0
4c63123c-c69e-4367-ace8-b9b9c3316b14,Desniati Desniati,5,2026-03-11 14:39:08,Terimakasih,0
